PROVINCIA;MUNICIPIO;ESTACION;MAGNITUD;PUNTO_MUESTREO;ANO;MES;D01;V01;D02;V02;D03;V03;D04;V04;D05;V05;D06;V06;D07;V07;D08;V08;D09;V09;D10;V10;D11;V11;D12;V12;D13;V13;D14;V14;D15;V15;D16;V16;D17;V17;D18;V18;D19;V19;D20;V20;D21;V21;D22;V22;D23;V23;D24;V24;D25;V25;D26;V26;D27;V27;D28;V28;D29;V29;D30;V30;D31;V31
28;079;4;12;28079004_12_8;2024;01;51;V;107;V;40;V;53;V;24;V;21;V;45;V;103;V;59;V;49;V;56;V;63;V;96;V;80;V;33;V;26;V;17;V;19;V;44;V;33;V;56;V;109;V;135;V;181;V;197;V;189;V;114;V;86;V;102;V;131;V;134;V
28;079;4;12;28079004_12_8;2024;02;132;V;88;V;73;V;74;V;144;V;91;V;30;V;36;V;26;V;12;V;16;V;19;V;58;V;74;V;65;V;43;V;67;V;66;V;78;V;92;V;74;V;21;V;26;V;30;V;14;V;23;V;28;V;51;V;62;V;0;N;0;N
28;079;4;12;28079004_12_8;2024;03;18;V;14;V;13;V;16;V;28;V;57;V;49;V;21;V;16;V;13;V;28;V;79;V;82;V;61;V;62;V;68;V;57;V;85;V;81;V;55;V;43;N;63;V;47;V;22;V;24;V;14;V;13;V;10;V;15;V;19;V;15;V
28;079;4;12;28079004_12_8;2024;04;19;V;45;V;21;V;62;V;63;V;57;V;37;V;18;V;23;V;41;V;50;V;54;V;50;V;37;V;65;V;43;V;19;V;21;V;29;V;29;V;17;V;16;V;23;V;24;V;53;V;29;V;15;V;27;V;26;V;24;V;0;N
28;079;4;12;28079004_12_8;2024;05;11;V;12;V;15;V;17;V;14;V;21;V;33;V;35;V;63;V;53;V;22;V;32;V;38;V;17;V;14;V;18;V;16;V;18;V;18;V;31;V;21;V;21;V;32;V;24;V;32;V;33;V;31;V;26;V;32;V;28;V;15;V
28;079;4;12;28079004_12_8;2024;06;9;V;14;V;19;V;24;V;34;V;39;V;25;V;26;V;15;V;16;V;14;V;15;V;17;V;37;V;16;V;21;V;22;V;31;V;20;V;23;V;30;V;33;V;10;V;19;V;29;V;23;V;29;V;17;V;9;V;11;V;0;N
28;079;4;12;28079004_12_8;2024;07;24;V;17;V;33;V;51;V;36;V;30;V;16;V;38;V;25;V;18;V;22;V;18;V;12;V;11;V;14;V;32;V;46;V;44;V;58;V;32;V;9;V;31;V;33;V;32;V;17;V;21;V;21;V;12;V;22;V;17;V;34;V
28;079;4;12;28079004_12_8;2024;08;34;V;25;V;12;V;16;V;21;V;37;V;41;V;44;V;28;V;16;V;14;V;14;V;13;V;12;V;9;V;15;V;17;V;11;V;13;V;21;V;9;V;16;V;25;V;12;V;10;V;14;V;21;V;33;V;20;V;15;V;12;V
28;079;4;12;28079004_12_8;2024;09;14;V;20;V;18;V;11;V;26;V;27;V;19;V;19;V;49;V;30;V;37;V;51;V;10;V;20;V;35;V;24;V;13;V;16;V;27;V;29;V;16;V;26;V;41;V;37;V;14;V;11;V;20;V;22;V;42;V;94;V;0;N
28;079;4;12;28079004_12_8;2024;10;80;V;15;V;19;V;38;V;34;V;10;V;28;V;13;V;11;V;18;V;58;V;26;V;28;V;51;V;21;V;12;N;12;V;27;V;36;V;36;V;75;V;26;V;34;V;32;V;38;V;14;V;13;V;14;V;12;V;26;V;34;V
28;079;4;12;28079004_12_8;2024;11;32;V;21;V;31;V;41;V;79;V;72;V;74;V;65;V;82;V;59;V;51;V;32;V;18;V;32;V;27;V;37;V;74;V;98;V;68;V;31;V;17;V;45;V;59;V;42;V;38;V;96;V;125;V;136;V;145;V;117;V;0;N
